_id,country,city,cityDepartment,departmentCode,postalCode,lon,lat,inseeCode,cityLabel,geocoded,typeId,id,department,region,pricePerSquareMeter,fees,includedFees,agencyFees,guarantee,netSellingPrice,value,feesPayingAgent,priceChanged,priceBefore
63247710,France,Nice (06),Nice (06),06,06100,7.26118,43.7274,06088,Nice,True,6,3224,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,26.666666666666668,130,True,450,1200,620,1200,acquéreur,,
60240748,France,Nice (06),Nice (06),06,06100,7.258147,43.69563,06088,Nice,True,6,3224,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,19.479507558048933,180,True,834.21,0,,1250,,7.4,1350
61816356,France,Nice (06),Nice (06),06,06000,7.248407,43.72644,06088,Nice,True,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5666.957279860506,0,True,23400,0,,390000,vendeur,,
62711712,France,Nice (06),Nice (06),06,06000,7.25,43.7,06088,Nice,False,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,35.13513513513514,80,True,0,0,,650,,,
63307322,France,Nice (06),Nice (06),06,06300,7.25,43.7,06088,Nice,False,6,3283,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,27.926322043969105,50,True,218.79,0,,470,,,
63394924,France,Nice (06),Nice (06),06,06000,7.25,43.7,06088,Nice,False,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,25.125628140703515,250,True,776.1,0,,1500,,,
61743032,France,Nice (06),Nice (06),06,06000,7.25,43.7,06088,Nice,False,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5345.238095238095,0,True,22500,0,,449000,vendeur,,
63342260,France,Nice (06),Nice (06),06,06000,7.25214,43.69476,06088,Nice,True,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,7028.423772609819,0,True,,0,136000,136000,,,
63342332,France,Nice (06),Nice (06),06,06000,7.27199,43.70117,06088,Nice,True,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,6160.071942446043,0,True,34250,0,,685000,vendeur,,
61707342,France,Nice (06),Nice (06),06,06000,7.25,43.7,06088,Nice,False,6,3126,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1000,0,True,5000,0,,55000,vendeur,,
